Name,AmplitudeFractionalErrorOneYear,YearsToTenPercent
AMCVn,0.15885623195107998,2.5235294622329296
SDSSJ1908,0.33378869876571876,11.141486095387046
HPLib,0.19913557279089208,3.9654964082192996
V803Cen,0.2658955017967016,7.070039600223352
HMCnc,0.09799654340860722,0.9603319548933182
